brand,name,seller,reviews_rating_number,reviews_amount,old_money,new_money
LENOVO,Notebook Lenovo Thinkpad T480 14  I5 8ª 8gb Ssd 256gb,Por Micro Livre ,4.8,(82),1.719,171
LENOVO,Notebook Lenovo Ideapad B330-15ikb I5 8° 8gb Ddr4 240gb Ssd,Por GSOLD ELECTRO ,,,1.899,1.614
ASUS,"Notebook Asus Vivobook Go 15 E510ka Intel Celeron Dual Core N4500 4gb Ram 128gb Emmc Windows 11 Home 15,60 Hd Rosa - Br833ws",,4.6,(346),2.329,1.649
LENOVO,Notebook Lenovo LOQ-e 15iax9e Intel Core i5-12450hx 16gb 512gb Ssd Rtx 3050 Windows 11 15.6 - 83me0007br Luna Grey,Por Mobcom ,4.9,(18),9.510,4.699
ACER,Notebook Acer Aspire 5 Ryzen 7 15.6 Radeon 512gb 8gb Linux,Por Mobcom ,4.9,(426),3.752,2.799
ACER,"Notebook Gamer Acer Nitro V ANV15-51-57WS Intel® Core™ i5-13420H 13ªGeração 512SSD 8GB Nvidia® GeForce® RTX 3050 GDDR6 Linux Gutta 15,6'",Por 123 Comprou ,4.8,(2733),8.165,4.409
,"Notebook Positivo Vision C15 Lumina Bar Celeron, 8GB 128GB eMMC, Tela 15.6"" HD Antirreflexo, Windows 11, Tecla Link, Cinza",Por Positivo ,4.6,(745),3.331,1.709
SAMSUNG,"Notebook Samsung Book 4 I3 1315u 8gb 512gb Ssd 15,6' W11 Pro Cor Grafite",Por Eshop ,4.9,(3637),3.999,2.970
ACER,Notebook Gamer Acer Nitro V Intel Core i7 13ª Geração 16GB 512GB RTX4050 Linux Gutta 15.6' FHD ANV15-51-7037,Por Acer Brasil ,4.8,(1374),7.299,6.399
ACER,Notebook Acer Predator Gamer Phn16-71-72w6 I7-13650hx 16gb 512gb Ssd Rtx 4060 Windows 11 Home Tela 16 Wuxga,Por Acer Brasil ,4.9,(571),10.999,8.599
SAMSUNG,Notebook Samsung Galaxy Book4 Windows 11 Home Intel Core I3 8gb 256gb Ssd 15.6'' Full Hd Led 1.55 Kg Grafite,Por 2Eletro ,4.9,(3637),3.590,2.899
ASUS,Asus Zenbook 14 Oled 2024 Intel Ultra 5 8 Gb De Ram 512 G...,,,,4.583,458
,"Notebook VAIO FE15 Intel Core i5 12th 16GB 512GB SSD Tela 15,6'' Full HD Antirreflexo Windows 11 Home Cinza Grafite B2621H",Por INPOWER ,4.8,(353),5.639,3.699
SAMSUNG,"Notebook Samsung Galaxy Book4 Intel® U300 (1.20 Ghz, até 4.4GHz, 8 MB L3 Cache), Windows 11 Home, 8GB, 256GB SSD, UHD Graphics, 15.6'' Full HD LED, 1.55kg",Por Vikings ,4.8,(5580),3.855,2.799
ACER,"Notebook Acer Aspire 5 Intel Core I5 - 12450H 8GB RAM 256GB SSD Windows 11 Home Tela 15,6"" Full HD A515-57-55B8",Por Mercado Livre ,4.8,(6533),4.117,3.038
LENOVO,"Notebook Lenovo Ideapad 1 Intel Core i3 1215U 8GB RAM 256GB SSD Windows 11 Home Tela 15,6"" 82VY000SBR",Por 123 Comprou ,4.8,(4725),4.715,2.447
ACER,"Notebook Acer Aspire 3 Intel Core I3 - N305, 8G RAM, 256GB SSD, Windows 11 Home, Tela 15,6"" Full HD - A315-510P-34XC 110V/220V",Por Mercado Livre ,4.8,(7875),3.682,2.649
SAMSUNG,"Notebook Samsung Galaxy Book4 Intel® Core™ i5-1335U (1.3 Ghz, até 4.6GHz, 12 MB L3 Cache), Windows 11 Home, 8GB, 512GB SSD, Iris Xe, 15.6'' Full HD LED, 1.55kg",Por Vikings ,4.8,(1037),5.831,3.514
HP,Notebook Hp 256r G9 Intel Core I3-1315u 15.6 Hd Intel Uhd Graphics 256gb Ssd 8gb Ram Windows 11 Home 64 Sl - AN1A2LA#AK4,Por HP ,4.9,(42),3.137,2.659
ASUS,"Notebook ASUS Vivobook Go 15 E1504 AMD RYZEN 5 7520U 8GB Ram 256GB SSD Linux KeepOS 15,6” FHD Black E1504FA-NJ731",Por Mercado Livre ,4.8,(536),2.615,261
SAMSUNG,"Notebook Samsung Galaxy Book Go Snapdragon 7c Kryo 468 Octa-core 4GB RAM 128GB SSD 14"" Full HD W11 com Office 365 NP340XLA-K07BR",,4.7,(786),2.579,1.949
